----- Tajima's D -----
         1         2881365       2893677            NaN
         1         2893678       2905990            NaN
         1         2905991       2918303            NaN
         1         2918304       2930616            NaN
         1         2930617       2942929            NaN
         1         2942930       2955242            NaN
         1         2955243       2967555            NaN
         1         2967556       2979868            NaN
         1         2979869       2992181            NaN
         1         2992182       3004494            NaN
         1         3004495       3016807            NaN
         1         3016808       3029120            NaN
         1         3029121       3041433            NaN
         1         3041434       3053746            NaN
         1         3053747       3066059            NaN
         1         3066060       3078372            NaN
         1         3078373       3090685            NaN
         1         3090686       3102998            NaN
         1         3102999       3115311            NaN
         1         3115312       3127624            NaN
         1         3127625       3139937            NaN
         1         3139938       3152250            NaN
         1         3152251       3164563            NaN
         1         3164564       3176876            NaN
         1         3176877       3189189            NaN
         1         3189190       3201502            NaN
         1         3201503       3213815            NaN
         1         3213816       3226128            NaN
         1         3226129       3238441            NaN
         1         3238442       3250754            NaN
         1         3250755       3263067            NaN
         1         3263068       3275380            NaN
         1         3275381       3287693            NaN
         1         3287694       3300006            NaN
         1         3300007       3312319            NaN
         1         3312320       3324632            NaN
         1         3324633       3336945            NaN
         1         3336946       3349258            NaN
         1         3349259       3361571            NaN
         1         3361572       3373884            NaN
         1         3373885       3386197            NaN
         1         3386198       3398510            NaN
         1         3398511       3410823            NaN
         1         3410824       3423136            NaN
         1         3423137       3435449            NaN
         1         3435450       3447762            NaN
         1         3447763       3460075            NaN
         1         3460076       3472388            NaN
         1         3472389       3484701            NaN
         1         3484702       3497014            NaN
         1         3497015       3509327            NaN
         1         3509328       3521640            NaN
         1         3521641       3533953            NaN
         1         3533954       3546266            NaN
         1         3546267       3558579            NaN
         1         3558580       3570892            NaN
         1         3570893       3583205            NaN
         1         3583206       3595518            NaN
         1         3595519       3607831            NaN
         1         3607832       3620144            NaN
         1         3620145       3632457            NaN
         1         3632458       3644770            NaN
         1         3644771       3657083            NaN
         1         3657084       3669396            NaN
         1         3669397       3681709            NaN
         1         3681710       3694022            NaN
         1         3694023       3706335            NaN
         1         3706336       3718648            NaN
         1         3718649       3730961            NaN
         1         3730962       3743274            NaN
         1         3743275       3755587            NaN
         1         3755588       3767900            NaN
         1         3767901       3780213            NaN
         1         3780214       3792526            NaN
         1         3792527       3804839            NaN
         1         3804840       3817152            NaN
         1         3817153       3829465            NaN
         1         3829466       3841778            NaN
         1         3841779       3854091            NaN
         1         3854092       3866404            NaN
         1         3866405       3878717            NaN
         1         3878718       3891030            NaN
         1         3891031       3903343            NaN
         1         3903344       3915656            NaN
         1         3915657       3927969            NaN
         1         3927970       3940282            NaN
         1         3940283       3952595            NaN
         1         3952596       3964908            NaN
         1         3964909       3977221            NaN
         1         3977222       3989534            NaN
         1         3989535       4001847            NaN
         1         4001848       4014160            NaN
         1         4014161       4026473            NaN
         1         4026474       4038786            NaN
         1         4038787       4051099            NaN
         1         4051100       4063412            NaN
         1         4063413       4075725            NaN
         1         4075726       4088038            NaN
         1         4088039       4100351            NaN
         1         4100352       4112664            NaN
         1         4112665       4124977            NaN
         1         4124978       4137290            NaN
         1         4137291       4149603            NaN
         1         4149604       4161916            NaN
         1         4161917       4174229            NaN
         1         4174230       4186542            NaN
         1         4186543       4198855            NaN
         1         4198856       4211168            NaN
         1         4211169       4223481            NaN
         1         4223482       4235794            NaN
         1         4235795       4248107            NaN
         1         4248108       4260420            NaN
         1         4260421       4272733            NaN
         1         4272734       4285046            NaN
         1         4285047       4297359            NaN
         1         4297360       4309672            NaN
         1         4309673       4321985            NaN
         1         4321986       4334298            NaN
         1         4334299       4346611            NaN
         1         4346612       4358924            NaN
         1         4358925       4371237            NaN
         1         4371238       4383550            NaN
         1         4383551       4395863            NaN
         1         4395864       4408176            NaN
         1         4408177       4420489            NaN
         1         4420490       4432802            NaN
         1         4432803       4445115            NaN
         1         4445116       4457428            NaN
         1         4457429       4469741            NaN
         1         4469742       4482054            NaN
         1         4482055       4494367            NaN
         1         4494368       4506680            NaN
         1         4506681       4518993            NaN
         1         4518994       4531306            NaN
         1         4531307       4543619            NaN
         1         4543620       4555932            NaN
         1         4555933       4568245            NaN
         1         4568246       4580558            NaN
         1         4580559       4592871            NaN
         1         4592872       4605184            NaN
         1         4605185       4617497            NaN
         1         4617498       4629810            NaN
         1         4629811       4642123            NaN
         1         4642124       4654436            NaN
         1         4654437       4666749            NaN
         1         4666750       4679062            NaN
         1         4679063       4691375            NaN
         1         4691376       4703688            NaN
         1         4703689       4716001            NaN
         1         4716002       4728314            NaN
         1         4728315       4740627            NaN
         1         4740628       4752940            NaN
         1         4752941       4765253            NaN
         1         4765254       4777566            NaN
         1         4777567       4789879            NaN
         1         4789880       4802192            NaN
         1         4802193       4814505            NaN
         1         4814506       4826818            NaN
         1         4826819       4839131            NaN
         1         4839132       4851444            NaN
         1         4851445       4863757            NaN
         1         4863758       4876070            NaN
         1         4876071       4888383            NaN
         1         4888384       4900696            NaN
         1         4900697       4913009            NaN
         1         4913010       4925322            NaN
         1         4925323       4937635            NaN
         1         4937636       4949948            NaN
         1         4949949       4962261            NaN
         1         4962262       4974574            NaN
         1         4974575       4986887            NaN
         1         4986888       4999200            NaN
         1         4999201       5011513            NaN
         1         5011514       5023826            NaN
         1         5023827       5036139            NaN
         1         5036140       5048452            NaN
         1         5048453       5060765            NaN
         1         5060766       5073078            NaN
         1         5073079       5085391            NaN
         1         5085392       5097704            NaN
         1         5097705       5110017            NaN
         1         5110018       5122330            NaN
         1         5122331       5134643            NaN
         1         5134644       5146956            NaN
         1         5146957       5159269            NaN
         1         5159270       5171582            NaN
         1         5171583       5183895            NaN
         1         5183896       5196208            NaN
         1         5196209       5208521            NaN
         1         5208522       5220834            NaN
         1         5220835       5233147            NaN
         1         5233148       5245460            NaN
         1         5245461       5257773            NaN
         1         5257774       5270086            NaN
         1         5270087       5282399            NaN
         1         5282400       5294712            NaN
         1         5294713       5307025            NaN
         1         5307026       5319338            NaN
         1         5319339       5331651            NaN
         1         5331652       5343964            NaN
         1         5343965       5356277            NaN
         1         5356278       5368590            NaN
         1         5368591       5380903            NaN
         1         5380904       5393216            NaN
         1         5393217       5405529            NaN
         1         5405530       5417842            NaN
         1         5417843       5430155            NaN
         1         5430156       5442468            NaN
         1         5442469       5454781            NaN
         1         5454782       5467094            NaN
         1         5467095       5479407            NaN
         1         5479408       5491720            NaN
         1         5491721       5504033            NaN
         1         5504034       5516346            NaN
         1         5516347       5528659            NaN
         1         5528660       5540972            NaN
         1         5540973       5553285            NaN
         1         5553286       5565598            NaN
         1         5565599       5577911            NaN
         1         5577912       5590224            NaN
         1         5590225       5602537            NaN
         1         5602538       5614850            NaN
         1         5614851       5627163            NaN
         1         5627164       5639476            NaN
         1         5639477       5651789            NaN
         1         5651790       5664102            NaN
         1         5664103       5676415            NaN
         1         5676416       5688728            NaN
         1         5688729       5701041            NaN
         1         5701042       5713354            NaN
         1         5713355       5725667            NaN
         1         5725668       5737980            NaN
         1         5737981       5750293            NaN
         1         5750294       5762606            NaN
         1         5762607       5774919            NaN
         1         5774920       5787232            NaN
         1         5787233       5799545            NaN
         1         5799546       5811858            NaN
         1         5811859       5824171            NaN
         1         5824172       5836484            NaN
         1         5836485       5848797            NaN
         1         5848798       5861110            NaN
         1         5861111       5873423            NaN
         1         5873424       5885736            NaN
         1         5885737       5898049            NaN
         1         5898050       5910362            NaN
         1         5910363       5922675            NaN
         1         5922676       5934988            NaN
         1         5934989       5947301            NaN
         1         5947302       5959614            NaN
         1         5959615       5971927            NaN
         1         5971928       5984240            NaN
         1         5984241       5996553            NaN
         1         5996554       6008866            NaN
         1         6008867       6021179            NaN
         1         6021180       6033492            NaN
         1         6033493       6045805            NaN
         1         6045806       6058118            NaN
         1         6058119       6070431            NaN
         1         6070432       6082744            NaN
         1         6082745       6095057            NaN
         1         6095058       6107370            NaN
         1         6107371       6119683            NaN
         1         6119684       6131996            NaN
         1         6131997       6144309            NaN
         1         6144310       6156622            NaN
         1         6156623       6168935            NaN
         1         6168936       6181248            NaN
         1         6181249       6193561            NaN
         1         6193562       6205874            NaN
         1         6205875       6218187            NaN
         1         6218188       6230500            NaN
         1         6230501       6242813            NaN
         1         6242814       6255126            NaN
         1         6255127       6267439            NaN
         1         6267440       6279752            NaN
         1         6279753       6292065            NaN
         1         6292066       6304378            NaN
         1         6304379       6316691            NaN
         1         6316692       6329004            NaN
         1         6329005       6341317            NaN
         1         6341318       6353630            NaN
         1         6353631       6365943            NaN
         1         6365944       6378256            NaN
         1         6378257       6390569            NaN
         1         6390570       6402882            NaN
         1         6402883       6415195            NaN
         1         6415196       6427508            NaN
         1         6427509       6439821            NaN
         1         6439822       6452134            NaN
         1         6452135       6464447            NaN
         1         6464448       6476760            NaN
         1         6476761       6489073            NaN
         1         6489074       6501386            NaN
         1         6501387       6513699            NaN
         1         6513700       6526012            NaN
         1         6526013       6538325            NaN
         1         6538326       6550638            NaN
         1         6550639       6562951            NaN
         1         6562952       6575264            NaN
         1         6575265       6587577            NaN
         1         6587578       6599890            NaN
         1         6599891       6612203            NaN
         1         6612204       6624516            NaN
         1         6624517       6636829            NaN
         1         6636830       6649142            NaN
         1         6649143       6661455            NaN
         1         6661456       6673768            NaN
         1         6673769       6686081            NaN
         1         6686082       6698394            NaN
         1         6698395       6710707            NaN
         1         6710708       6723020            NaN
         1         6723021       6735333            NaN
         1         6735334       6747646            NaN
         1         6747647       6759959            NaN
         1         6759960       6772272            NaN
         1         6772273       6784585            NaN
         1         6784586       6796898            NaN
         1         6796899       6809211            NaN
         1         6809212       6821524            NaN
         1         6821525       6833837            NaN
         1         6833838       6846150            NaN
         1         6846151       6858463            NaN
         1         6858464       6870776            NaN
         1         6870777       6883089            NaN
         1         6883090       6895402            NaN
         1         6895403       6907715            NaN
         1         6907716       6920028            NaN
         1         6920029       6932341            NaN
         1         6932342       6944654            NaN
         1         6944655       6956967            NaN
         1         6956968       6969280            NaN
         1         6969281       6981593            NaN
         1         6981594       6993906            NaN
         1         6993907       7006219            NaN
         1         7006220       7018532            NaN
         1         7018533       7030845            NaN
         1         7030846       7043158            NaN
         1         7043159       7055471            NaN
         1         7055472       7067784            NaN
         1         7067785       7080097            NaN
         1         7080098       7092410            NaN
         1         7092411       7104723            NaN
         1         7104724       7117036            NaN
         1         7117037       7129349            NaN
         1         7129350       7141662            NaN
         1         7141663       7153975            NaN
         1         7153976       7166288            NaN
         1         7166289       7178601            NaN
         1         7178602       7190914            NaN
         1         7190915       7203227            NaN
         1         7203228       7215540            NaN
         1         7215541       7227853            NaN
         1         7227854       7240166            NaN
         1         7240167       7252479            NaN
         1         7252480       7264792            NaN
         1         7264793       7277105            NaN
         1         7277106       7289418            NaN
         1         7289419       7301731            NaN
         1         7301732       7314044            NaN
         1         7314045       7326357            NaN
         1         7326358       7338670            NaN
         1         7338671       7350983            NaN
         1         7350984       7363296            NaN
         1         7363297       7375609            NaN
         1         7375610       7387922            NaN
         1         7387923       7400235            NaN
         1         7400236       7412548            NaN
         1         7412549       7424861            NaN
         1         7424862       7437174            NaN
         1         7437175       7449487            NaN
         1         7449488       7461800            NaN
         1         7461801       7474113            NaN
         1         7474114       7486426            NaN
         1         7486427       7498739            NaN
         1         7498740       7511052            NaN
         1         7511053       7523365            NaN
         1         7523366       7535678            NaN
         1         7535679       7547991            NaN
         1         7547992       7560304            NaN
         1         7560305       7572617            NaN
         1         7572618       7584930            NaN
         1         7584931       7597243            NaN
         1         7597244       7609556            NaN
         1         7609557       7621869            NaN
         1         7621870       7634182            NaN
         1         7634183       7646495            NaN
         1         7646496       7658808            NaN
         1         7658809       7671121            NaN
         1         7671122       7683434            NaN
         1         7683435       7695747            NaN
         1         7695748       7708060            NaN
         1         7708061       7720373            NaN
         1         7720374       7732686            NaN
         1         7732687       7744999            NaN
         1         7745000       7757312            NaN
         1         7757313       7769625            NaN
         1         7769626       7781938            NaN
         1         7781939       7794251            NaN
         1         7794252       7806564            NaN
         1         7806565       7818877            NaN
         1         7818878       7831190            NaN
         1         7831191       7843503            NaN
         1         7843504       7855816            NaN
         1         7855817       7868129            NaN
         1         7868130       7880442            NaN
         1         7880443       7892755            NaN
         1         7892756       7905068            NaN
         1         7905069       7917381            NaN
         1         7917382       7929694            NaN
         1         7929695       7942007            NaN
         1         7942008       7954320            NaN
         1         7954321       7966633            NaN
         1         7966634       7978946            NaN
         1         7978947       7991259            NaN
         1         7991260       8003572            NaN
         1         8003573       8015885            NaN
         1         8015886       8028198            NaN
         1         8028199       8040511            NaN
         1         8040512       8052824            NaN
         1         8052825       8065137            NaN
         1         8065138       8077450            NaN
         1         8077451       8089763            NaN
         1         8089764       8102076            NaN
         1         8102077       8114389            NaN
         1         8114390       8126702            NaN
         1         8126703       8139015            NaN
         1         8139016       8151328            NaN
         1         8151329       8163641            NaN
         1         8163642       8175954            NaN
         1         8175955       8188267            NaN
         1         8188268       8200580            NaN
         1         8200581       8212893            NaN
         1         8212894       8225206            NaN
         1         8225207       8237519            NaN
         1         8237520       8249832            NaN
         1         8249833       8262145            NaN
         1         8262146       8274458            NaN
         1         8274459       8286771            NaN
         1         8286772       8299084            NaN
         1         8299085       8311397            NaN
         1         8311398       8323710            NaN
         1         8323711       8336023            NaN
         1         8336024       8348336            NaN
         1         8348337       8360649            NaN
         1         8360650       8372962            NaN
         1         8372963       8385275            NaN
         1         8385276       8397588            NaN
         1         8397589       8409901            NaN
         1         8409902       8422214            NaN
         1         8422215       8434527            NaN
         1         8434528       8446840            NaN
         1         8446841       8459153            NaN
         1         8459154       8471466            NaN
         1         8471467       8483779            NaN
         1         8483780       8496092            NaN
         1         8496093       8508405            NaN
         1         8508406       8520718            NaN
         1         8520719       8533031            NaN
         1         8533032       8545344            NaN
         1         8545345       8557657            NaN
         1         8557658       8569970            NaN
         1         8569971       8582283            NaN
         1         8582284       8594596            NaN
         1         8594597       8606909            NaN
         1         8606910       8619222            NaN
         1         8619223       8631535            NaN
         1         8631536       8643848            NaN
         1         8643849       8656161            NaN
         1         8656162       8668474            NaN
         1         8668475       8680787            NaN
         1         8680788       8693100            NaN
         1         8693101       8705413            NaN
         1         8705414       8717726            NaN
         1         8717727       8730039            NaN
         1         8730040       8742352            NaN
         1         8742353       8754665            NaN
         1         8754666       8766978            NaN
         1         8766979       8779291            NaN
         1         8779292       8791604            NaN
         1         8791605       8803917            NaN
         1         8803918       8816230            NaN
         1         8816231       8828543            NaN
         1         8828544       8840856            NaN
         1         8840857       8853169            NaN
         1         8853170       8865482            NaN
         1         8865483       8877795            NaN
         1         8877796       8890108            NaN
         1         8890109       8902421            NaN
         1         8902422       8914734            NaN
         1         8914735       8927047            NaN
         1         8927048       8939360            NaN
         1         8939361       8951673            NaN
         1         8951674       8963986            NaN
         1         8963987       8976299            NaN
         1         8976300       8988612            NaN
         1         8988613       9000925            NaN
         1         9000926       9013238            NaN
         1         9013239       9025551            NaN
         1         9025552       9037864            NaN
         1         9037865       9050177            NaN
         1         9050178       9062490            NaN
         1         9062491       9074803            NaN
         1         9074804       9087116            NaN
         1         9087117       9099429            NaN
         1         9099430       9111742            NaN
         1         9111743       9124055            NaN
         1         9124056       9136368            NaN
         1         9136369       9148681            NaN
         1         9148682       9160994            NaN
         1         9160995       9173307            NaN
         1         9173308       9185620            NaN
         1         9185621       9197933            NaN
         1         9197934       9210246            NaN
         1         9210247       9222559            NaN
         1         9222560       9234872            NaN
         1         9234873       9247185            NaN
         1         9247186       9259498            NaN
         1         9259499       9271811            NaN
         1         9271812       9284124            NaN
         1         9284125       9296437            NaN
         1         9296438       9308750            NaN
         1         9308751       9321063            NaN
         1         9321064       9333376            NaN
         1         9333377       9345689            NaN
         1         9345690       9358002            NaN
         1         9358003       9370315            NaN
         1         9370316       9382628            NaN
         1         9382629       9394941            NaN
         1         9394942       9407254            NaN
         1         9407255       9419567            NaN
         1         9419568       9431880            NaN
         1         9431881       9444193            NaN
         1         9444194       9456506            NaN
         1         9456507       9468819            NaN
         1         9468820       9481132            NaN
         1         9481133       9493445            NaN
         1         9493446       9505758            NaN
         1         9505759       9518071            NaN
         1         9518072       9530384            NaN
         1         9530385       9542697            NaN
         1         9542698       9555010            NaN
         1         9555011       9567323            NaN
         1         9567324       9579636            NaN
         1         9579637       9591949            NaN
         1         9591950       9604262            NaN
         1         9604263       9616575            NaN
         1         9616576       9628888            NaN
         1         9628889       9641201            NaN
         1         9641202       9653514            NaN
         1         9653515       9665827            NaN
         1         9665828       9678140            NaN
         1         9678141       9690453            NaN
         1         9690454       9702766            NaN
         1         9702767       9715079            NaN
         1         9715080       9727392            NaN
         1         9727393       9739705            NaN
         1         9739706       9752018            NaN
         1         9752019       9764331            NaN
         1         9764332       9776644            NaN
         1         9776645       9788957            NaN
         1         9788958       9801270            NaN
         1         9801271       9813583            NaN
         1         9813584       9825896            NaN
         1         9825897       9838209            NaN
         1         9838210       9850522            NaN
         1         9850523       9862835            NaN
         1         9862836       9875148            NaN
